# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04734e-05 to 1.53044 h/Mpc,
# number of wavenumbers equal to 643
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.563649164832e-02       1.192300322772e+04 
       2.577300219343e-02       1.189175376961e+04 
       2.590967246678e-02       1.186030638190e+04 
       2.604650597666e-02       1.182860986713e+04 
       2.618350631914e-02       1.179671454361e+04 
       2.632067718054e-02       1.176459860312e+04 
       2.645802233996e-02       1.173229881704e+04 
       2.659554567196e-02       1.169978898049e+04 
       2.673325114925e-02       1.166710168411e+04 
       2.687114284554e-02       1.163420507229e+04 
       2.700922493846e-02       1.160114210368e+04 
       2.714750171261e-02       1.156792336094e+04 
       2.728597756268e-02       1.153452455325e+04 
       2.742465699671e-02       1.150093856494e+04 
       2.756354463948e-02       1.146721340776e+04 
       2.770264523602e-02       1.143333980401e+04 
       2.784196365519e-02       1.139930620012e+04 
       2.798150489348e-02       1.136511426386e+04 
       2.812127407894e-02       1.133078715364e+04 
       2.826127647515e-02       1.129634859411e+04 
       2.840151748551e-02       1.126173517107e+04 
       2.854200265758e-02       1.122702531174e+04 
       2.868273768760e-02       1.119219247160e+04 
       2.882372842522e-02       1.115723249098e+04 
       2.896498087839e-02       1.112214605722e+04 
       2.910650121846e-02       1.108694471440e+04 
       2.924829578548e-02       1.105164464705e+04 
       2.939037109369e-02       1.101625271692e+04 
       2.953273383725e-02       1.098074917537e+04 
       2.967539089624e-02       1.094515887546e+04 
       2.981834934284e-02       1.090946252133e+04 
       2.996161644778e-02       1.087369838642e+04 
       3.010519968711e-02       1.083782249405e+04 
       3.024910674924e-02       1.080187489500e+04 
       3.039334554220e-02       1.076584280102e+04 
       3.053792420132e-02       1.072978165734e+04 
       3.068285109720e-02       1.069359710136e+04 
       3.082813484400e-02       1.065735694851e+04 
       3.097378430812e-02       1.062106740276e+04 
       3.111980861731e-02       1.058471523043e+04 
       3.126621717006e-02       1.054826975022e+04 
       3.141301964558e-02       1.051179610015e+04 
       3.156022601413e-02       1.047527935659e+04 
       3.170784654780e-02       1.043867909947e+04 
       3.185589183193e-02       1.040205292829e+04 
       3.200437277690e-02       1.036538610274e+04 
       3.215330063060e-02       1.032865264109e+04 
       3.230268699142e-02       1.029190832327e+04 
       3.245254382193e-02       1.025510036296e+04 
       3.260288346318e-02       1.021826515131e+04 
       3.275371864974e-02       1.018139876286e+04 
       3.290506252542e-02       1.014452124266e+04 
       3.305692865988e-02       1.010757010057e+04 
       3.320933106600e-02       1.007062331579e+04 
       3.336228421820e-02       1.003361907257e+04 
       3.351580307163e-02       9.996605792425e+03 
       3.366990308245e-02       9.959585400150e+03 
       3.382460022914e-02       9.922528088393e+03 
       3.397991103494e-02       9.885479182395e+03 
       3.413585259151e-02       9.848359492048e+03 
       3.429244258390e-02       9.811254347441e+03 
       3.444969931687e-02       9.774134119126e+03 
       3.460764174268e-02       9.737001971911e+03 
       3.476628949047e-02       9.699839396228e+03 
       3.492566289729e-02       9.662718049853e+03 
       3.508578304091e-02       9.625515373586e+03 
       3.524667177460e-02       9.588353541559e+03 
       3.540835176389e-02       9.551139700114e+03 
       3.557084652555e-02       9.513907929935e+03 
       3.573418046894e-02       9.476697603080e+03 
       3.589837893989e-02       9.439483028000e+03 
       3.606346826723e-02       9.402256502888e+03 
       3.622947581231e-02       9.365030771997e+03 
       3.639643002161e-02       9.327754671770e+03 
       3.656436048274e-02       9.290515216717e+03 
       3.673329798407e-02       9.253255083092e+03 
       3.690327457830e-02       9.215975625386e+03 
       3.707432365020e-02       9.178681704817e+03 
       3.724647998904e-02       9.141407302392e+03 
       3.741977986585e-02       9.104100635857e+03 
       3.759426111611e-02       9.066791433643e+03 
