# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  110       3.978718448217e-10       1.187800962657e-13      -3.904661266193e-12       0.000000000000e+00       8.180931455381e-12       1.172607921103e-12      -6.388866696536e-15 
  111       4.021889163361e-10       1.204053909867e-13      -3.988636073430e-12       0.000000000000e+00       7.987695650754e-12       1.150583560504e-12      -6.311034111245e-15 
  112       4.065250417027e-10       1.219920950282e-13      -4.071928104427e-12       0.000000000000e+00       7.800631046352e-12       1.129163694235e-12      -6.233212806282e-15 
  113       4.108792310320e-10       1.235384979059e-13      -4.154464659493e-12       0.000000000000e+00       7.619395586741e-12       1.108309037829e-12      -6.155400389863e-15 
  114       4.152503562006e-10       1.250428966380e-13      -4.236172540582e-12       0.000000000000e+00       7.443585888265e-12       1.087973390484e-12      -6.077583988722e-15 
  115       4.196371465934e-10       1.265035967173e-13      -4.316978077587e-12       0.000000000000e+00       7.272735537424e-12       1.068103442330e-12      -5.999739894420e-15 
  116       4.240383624073e-10       1.279189584361e-13      -4.396807787767e-12       0.000000000000e+00       7.106417672662e-12       1.048651774903e-12      -5.921874624002e-15 
  117       4.284533475699e-10       1.292875401775e-13      -4.475590388754e-12       0.000000000000e+00       6.944570516890e-12       1.029618067761e-12      -5.844154521689e-15 
  118       4.328815363619e-10       1.306079744504e-13      -4.553255080804e-12       0.000000000000e+00       6.787208412422e-12       1.011012563222e-12      -5.766791323471e-15 
  119       4.373222792113e-10       1.318789254512e-13      -4.629730967110e-12       0.000000000000e+00       6.634320307875e-12       9.928432461945e-13      -5.690002165017e-15 
  120       4.417748400051e-10       1.330990904361e-13      -4.704947085694e-12       0.000000000000e+00       6.485868978594e-12       9.751157680963e-13      -5.614009594157e-15 
  121       4.462383934010e-10       1.342672010931e-13      -4.778832441298e-12       0.000000000000e+00       6.341790247081e-12       9.578333707810e-13      -5.539041583360e-15 
  122       4.507120221392e-10       1.353820249141e-13      -4.851316037279e-12       0.000000000000e+00       6.201992203423e-12       9.409968104600e-13      -5.465331542226e-15 
  123       4.551947143543e-10       1.364423665671e-13      -4.922326907496e-12       0.000000000000e+00       6.066354425719e-12       9.246042816254e-13      -5.393118329959e-15 
  124       4.596853608869e-10       1.374470692684e-13      -4.991794148207e-12       0.000000000000e+00       5.934727200505e-12       9.086513409733e-13      -5.322646267859e-15 
  125       4.641827525953e-10       1.383950161547e-13      -5.059646949955e-12       0.000000000000e+00       5.806930743186e-12       8.931308313265e-13      -5.254165151799e-15 
  126       4.686855776676e-10       1.392851316553e-13      -5.125814629465e-12       0.000000000000e+00       5.682754418462e-12       8.780328055575e-13      -5.187930264709e-15 
  127       4.731924189329e-10       1.401163828641e-13      -5.190226661535e-12       0.000000000000e+00       5.561955960751e-12       8.633444505118e-13      -5.124202389063e-15 
  128       4.777017511736e-10       1.408877809117e-13      -5.252812710924e-12       0.000000000000e+00       5.444260694625e-12       8.490500109308e-13      -5.063247819355e-15 
  129       4.822120996071e-10       1.415984211965e-13      -5.313503416559e-12       0.000000000000e+00       5.329420771128e-12       8.351337527532e-13      -5.005254231784e-15 
  130       4.867225406985e-10       1.422476061505e-13      -5.372232773659e-12       0.000000000000e+00       5.217401879733e-12       8.215893821511e-13      -4.950067831998e-15 
  131       4.912322514632e-10       1.428347385971e-13      -5.428936074420e-12       0.000000000000e+00       5.108215641038e-12       8.084115208146e-13      -4.897427261498e-15 
  132       4.957403517016e-10       1.433592857328e-13      -5.483549216032e-12       0.000000000000e+00       5.001861080228e-12       7.955927054010e-13      -4.847044571856e-15 
  133       5.002459024642e-10       1.438207807782e-13      -5.536008737957e-12       0.000000000000e+00       4.898324276956e-12       7.831233332072e-13      -4.798604635106e-15 
  134       5.047479045166e-10       1.442188246279e-13      -5.586251859207e-12       0.000000000000e+00       4.797578015224e-12       7.709916078409e-13      -4.751764554127e-15 
  135       5.092452968044e-10       1.445530875007e-13      -5.634216515611e-12       0.000000000000e+00       4.699581433259e-12       7.591834848924e-13      -4.706153073033e-15 
  136       5.137369549186e-10       1.448233105898e-13      -5.679841397099e-12       0.000000000000e+00       4.604279673397e-12       7.476826176065e-13      -4.661369987564e-15 
  137       5.182216895604e-10       1.450293077130e-13      -5.723065984971e-12       0.000000000000e+00       4.511603531957e-12       7.364703025540e-13      -4.616985555467e-15 
  138       5.226982450059e-10       1.451709669630e-13      -5.763830589176e-12       0.000000000000e+00       4.421469109123e-12       7.255254253032e-13      -4.572539906892e-15 
  139       5.271652975718e-10       1.452482523575e-13      -5.802076385583e-12       0.000000000000e+00       4.333777458826e-12       7.148244060921e-13      -4.527542454770e-15 
  140       5.316214540801e-10       1.452612054895e-13      -5.837745453262e-12       0.000000000000e+00       4.248414238619e-12       7.043411454996e-13      -4.481471305212e-15 
  141       5.360652503229e-10       1.452099471773e-13      -5.870780811751e-12       0.000000000000e+00       4.165249359556e-12       6.940469701176e-13      -4.433772667886e-15 
  142       5.404951495280e-10       1.450946791148e-13      -5.901126458339e-12       0.000000000000e+00       4.084136636078e-12       6.839105782222e-13      -4.383860266413e-15 
