# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(*)rho_adm            16:(*)rho_adr            17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f             22:rel. alpha            23:rel. m_e           
       3.207515198451e+12       6.752348709312e-23       1.328098733211e-07       2.415132898127e+19       1.302590431650e+04       4.061057706846e-09       4.178078606874e+16       7.667734423213e-08       2.912419723639e+38       8.213547006358e+28       5.217337278999e+29       4.101823065655e-08       2.384150879007e+38       5.832866915616e+38       1.512455957515e+28       5.362963067795e+37       5.832866915616e+38       1.944288969809e+38      -5.317479364662e+45       4.262504576030e-05       2.538281340200e-01       1.014080000000e+00       9.724000000000e-01 
       3.173222318358e+12       6.899082013973e-23       1.342450559605e-07       2.363766581051e+19       1.302590431650e+04       4.104945386628e-09       4.133409029392e+16       7.750599306484e-08       2.789851407452e+38       7.952910201484e+28       5.051777854149e+29       4.101823065655e-08       2.283814599725e+38       5.587392449692e+38       1.464461870676e+28       5.137264365214e+37       5.587392449692e+38       1.862464147899e+38      -5.039236018558e+45       4.274134366063e-05       2.531374753813e-01       1.014080000000e+00       9.724000000000e-01 
       3.139296077721e+12       7.049003939538e-23       1.356947905151e-07       2.313492749830e+19       1.302590431649e+04       4.149307358720e-09       4.089217032956e+16       7.834359707108e-08       2.672441342326e+38       7.700544067492e+28       4.891472052305e+29       4.101823065655e-08       2.187700942857e+38       5.352248703514e+38       1.417990758678e+28       4.921064125274e+37       5.352248703514e+38       1.784082899237e+38      -4.775552081968e+45       4.285764156096e-05       2.524505650678e-01       1.014080000000e+00       9.724000000000e-01 
       3.105732556644e+12       7.202183771417e-23       1.371608959744e-07       2.264288168900e+19       1.302590431649e+04       4.194148748778e-09       4.045497511548e+16       7.919025302803e-08       2.559972444804e+38       7.456186154889e+28       4.736253162604e+29       4.101823065655e-08       2.095632200597e+38       5.127000911821e+38       1.372994293643e+28       4.713962608006e+37       5.127000911821e+38       1.709000302067e+38      -4.525665716709e+45       4.297393946130e-05       2.517673726442e-01       1.014080000000e+00       9.724000000000e-01 
       3.072527877142e+12       7.358692312449e-23       1.386433723383e-07       2.216130096884e+19       1.302590431649e+04       4.239474737851e-09       4.002245413741e+16       8.004605876086e-08       2.452236767319e+38       7.219582342377e+28       4.585959764341e+29       4.101823065655e-08       2.007438143920e+38       4.911232606317e+38       1.329425681261e+28       4.515576896377e+37       4.911232606317e+38       1.637077533625e+38      -4.288854948673e+45       4.309023736165e-05       2.510878680115e-01       1.014080000000e+00       9.724000000000e-01 
       3.039678202689e+12       7.518601891800e-23       1.401422196068e-07       2.168996276080e+19       1.302590431649e+04       4.285290562982e-09       3.959455742116e+16       8.091111314974e-08       2.349035113716e+38       6.990486572573e+28       4.440435559107e+29       4.101823065655e-08       1.922955707836e+38       4.704544845651e+38       1.287239612123e+28       4.325540188305e+37       4.704544845651e+38       1.568181613461e+38      -4.064435581896e+45       4.320653526201e-05       2.504120213870e-01       1.014080000000e+00       9.724000000000e-01 
       3.007179737780e+12       7.681986421459e-23       1.416574377799e-07       2.122864922174e+19       1.302590431649e+04       4.331601517807e-09       3.917123552681e+16       8.178551614539e-08       2.250176670952e+38       6.768660596125e+28       4.299529208236e+29       4.101823065655e-08       1.842028689899e+38       4.506555477799e+38       1.246392214603e+28       4.143501118462e+37       4.506555477799e+38       1.502185157566e+38      -3.851759221770e+45       4.332283316238e-05       2.497398033144e-01       1.014080000000e+00       9.724000000000e-01 
       2.975028727485e+12       7.848921411342e-23       1.431872078683e-07       2.077714714173e+19       1.302590431649e+04       4.378412953172e-09       3.875243954304e+16       8.266936877724e-08       2.155478656293e+38       6.553873723939e+28       4.163094175426e+29       4.101823065655e-08       1.764507461397e+38       4.316898433492e+38       1.206841009237e+28       3.969123108627e+37       4.316898433492e+38       1.438966142851e+38      -3.650211401694e+45       4.343913106276e-05       2.490711846482e-01       1.014080000000e+00       9.724000000000e-01 
       2.943221457025e+12       8.019484016082e-23       1.447351678507e-07       2.033524784549e+19       1.302590431648e+04       4.425730277750e-09       3.833812108145e+16       8.356277316723e-08       2.064765979361e+38       6.345902587276e+28       4.030988574347e+29       4.101823065655e-08       1.690248690696e+38       4.135223049376e+38       1.168544864539e+28       3.802083745372e+37       4.135223049376e+38       1.378407681531e+38      -3.459209807755e+45       4.355542896314e-05       2.484061365562e-01       1.014080000000e+00       9.724000000000e-01 
       2.911754251333e+12       8.193753067939e-23       1.462994987378e-07       1.990274709597e+19       1.302590431648e+04       4.473558958664e-09       3.792823227099e+16       8.446583254109e-08       1.977870918406e+38       6.144530905454e+28       3.903075021081e+29       4.101823065655e-08       1.619115078230e+38       3.961193419661e+38       1.131463954232e+28       3.642074183944e+37       3.961193419661e+38       1.320397805010e+38      -3.278202596299e+45       4.367172686354e-05       2.477446305140e-01       1.014080000000e+00       9.724000000000e-01 
       2.880623474634e+12       8.371809107133e-23       1.478802005295e-07       1.947944499993e+19       1.302590431648e+04       4.521904522121e-09       3.752272575241e+16       8.537865123923e-08       1.894632810197e+38       5.949549260934e+28       3.779220491255e+29       4.101823065655e-08       1.550975102649e+38       3.794487775052e+38       1.095559715828e+28       3.488798577226e+37       3.794487775052e+38       1.264829256856e+38      -3.106666799535e+45       4.378802476395e-05       2.470866382974e-01       1.014080000000e+00       9.724000000000e-01 
       2.849825530028e+12       8.553734432636e-23       1.494790922152e-07       1.906514591556e+19       1.302590431648e+04       4.570772554048e-09       3.712155467282e+16       8.630133473110e-08       1.814897752968e+38       5.760754881526e+28       3.659296181697e+29       4.101823065655e-08       1.485702777634e+38       3.634797887817e+38       1.060794810525e+28       3.341973528742e+37       3.634797887817e+38       1.211599294492e+38      -2.944106814579e+45       4.390432266437e-05       2.464321319858e-01       1.014080000000e+00       9.724000000000e-01 
       2.819356859066e+12       8.739613120486e-23       1.510943548055e-07       1.865965836209e+19       1.302590431648e+04       4.620168700740e-09       3.672467268022e+16       8.723398962407e-08       1.738518321861e+38       5.577951429519e+28       3.543177376491e+29       4.101823065655e-08       1.423177418966e+38       3.481828501899e+38       1.027133084376e+28       3.201327568671e+37       3.481828501899e+38       1.160609499232e+38      -2.790052971548e+45       4.402062056480e-05       2.457810839479e-01       1.014080000000e+00       9.724000000000e-01 
       2.789213941349e+12       8.929531087288e-23       1.527259883005e-07       1.826279493123e+19       1.302590431648e+04       4.670098669511e-09       3.633203391820e+16       8.817672367985e-08       1.665353296353e+38       5.400948797501e+28       3.430743317272e+29       4.101823065655e-08       1.363283421387e+38       3.335296787001e+38       9.945395306911e+27       3.066600651917e+37       3.335296787001e+38       1.111765594310e+38      -2.644060176586e+45       4.413691846523e-05       2.451334668503e-01       1.014080000000e+00       9.724000000000e-01 
       2.759393294111e+12       9.123576101747e-23       1.543776306789e-07       1.787437220061e+19       1.302590431648e+04       4.720568229353e-09       3.594359302062e+16       8.912964582227e-08       1.595267399140e+38       5.229562910651e+28       3.321877077649e+29       4.101823065655e-08       1.305910044847e+38       3.194931815658e+38       9.629802536334e+27       2.937543677308e+37       3.194931815658e+38       1.064977270572e+38      -2.505706625896e+45       4.425321636568e-05       2.444892536395e-01       1.014080000000e+00       9.724000000000e-01 
       2.729891471825e+12       9.321837855168e-23       1.560456439620e-07       1.749421064897e+19       1.302590431647e+04       4.771583211606e-09       3.555930510637e+16       9.009286615478e-08       1.528131046026e+38       5.063615535314e+28       3.216465441600e+29       4.101823065655e-08       1.250951209762e+38       3.060474062306e+38       9.324224329660e+27       2.813918027017e+37       3.060474062306e+38       1.020158019496e+38      -2.374592587059e+45       4.436951426614e-05       2.438484175533e-01       1.014080000000e+00       9.724000000000e-01 
       2.700705065802e+12       9.524407974374e-23       1.577318471391e-07       1.712213457322e+19       1.302590431647e+04       4.823149510626e-09       3.517912577416e+16       9.106649596856e-08       1.463820106327e+38       4.902934093640e+28       3.114398785741e+29       4.101823065655e-08       1.198305300874e+38       2.931674923434e+38       9.028342899223e+27       2.695495125378e+37       2.931674923434e+38       9.772249732462e+37      -2.250339244125e+45       4.448581216661e-05       2.432109321027e-01       1.014080000000e+00       9.724000000000e-01 
