#scalar perturbations for mode k = 1.088182900000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:shear_idr             19:delta_cdm             20:theta_cdm             21:delta_idm             22:theta_idm          
       6.765220322928e+00       1.609590791736e-05      -1.188467293739e+00       2.344161872364e-04       4.384946504761e-08       1.096236626190e-07       1.255719830433e-13       2.192473252381e-08      -8.913504703041e-01       2.344161872794e-04       5.887577188024e-01       7.031481059626e-01      -1.188467275490e+00       2.343582542122e-04       2.119380483919e-04      -1.188467275490e+00       2.343582542122e-04       2.119380483919e-04      -8.913504982774e-01       2.345345133376e-04      -8.913504723537e-01       2.344327009733e-04 
       6.828804133792e+00       1.624922357307e-05      -1.188619475540e+00       2.366119253368e-04       4.510719111014e-08       1.127679777754e-07       1.316462546038e-13       2.255359555507e-08      -8.914646066547e-01       2.366119253924e-04       5.887588207705e-01       7.031150521399e-01      -1.188619452309e+00       2.365523327554e-04       2.159298277531e-04      -1.188619452309e+00       2.365523327554e-04       2.159298277531e-04      -8.914646422577e-01       2.367335977729e-04      -8.914646098910e-01       2.366327460349e-04 
       6.892387944656e+00       1.640257714951e-05      -1.188771348611e+00       2.388073885462e-04       4.638889682610e-08       1.159722420652e-07       1.379544514189e-13       2.319444841305e-08      -8.915785114579e-01       2.388073886150e-04       5.887599633896e-01       7.030821220346e-01      -1.188771320257e+00       2.387461048415e-04       2.199587801168e-04      -1.188771320257e+00       2.387461048415e-04       2.199587801168e-04      -8.915785549053e-01       2.389324693937e-04      -8.915785161561e-01       2.388325605549e-04 
       6.955971755520e+00       1.655596864867e-05      -1.188922940374e+00       2.410025787887e-04       4.769481483886e-08       1.192370370971e-07       1.445033293544e-13       2.384740741943e-08      -8.916922052802e-01       2.410025788713e-04       5.887611439019e-01       7.030493087854e-01      -1.188922906751e+00       2.409395720893e-04       2.240248997511e-04      -1.188922906751e+00       2.409395720893e-04       2.240248997511e-04      -8.916922567907e-01       2.411311306793e-04      -8.916922117185e-01       2.410321474987e-04 
       7.019555566384e+00       1.670939806720e-05      -1.189074264392e+00       2.431974952138e-04       4.902517739050e-08       1.225629434762e-07       1.512997742438e-13       2.451258869525e-08      -8.918056982939e-01       2.431974953111e-04       5.887623622881e-01       7.030166089956e-01      -1.189074225354e+00       2.431327333431e-04       2.281281809312e-04      -1.189074225354e+00       2.431327333431e-04       2.281281809312e-04      -8.918057580902e-01       2.433295813342e-04      -8.918057067533e-01       2.432315070393e-04 
       7.083139377248e+00       1.686286540144e-05      -1.189225332710e+00       2.453921367506e-04       5.038021682535e-08       1.259505420634e-07       1.583508047699e-13       2.519010841268e-08      -8.919189995329e-01       2.453921368632e-04       5.887636186795e-01       7.029840196482e-01      -1.189225288107e+00       2.453255872261e-04       2.322686179547e-04      -1.189225288107e+00       2.453255872261e-04       2.322686179547e-04      -8.919190678418e-01       2.455278208418e-04      -8.919190102974e-01       2.454306391118e-04 
       7.191629989845e+00       1.712480834145e-05      -1.189482530560e+00       2.491361300397e-04       5.274990527442e-08       1.318747631861e-07       1.709899632340e-13       2.637495263721e-08      -8.921118979198e-01       2.491361301803e-04       5.887658517995e-01       7.029286621341e-01      -1.189482476104e+00       2.490664544425e-04       2.394190553573e-04      -1.189482476104e+00       2.490664544425e-04       2.394190553573e-04      -8.921119812885e-01       2.492781019553e-04      -8.921119132818e-01       2.491824067278e-04 
       7.300120602443e+00       1.738686169702e-05      -1.189739204678e+00       2.528793442438e-04       5.519327582472e-08       1.379831895618e-07       1.844276641332e-13       2.759663791236e-08      -8.923044035084e-01       2.528793444146e-04       5.887681680155e-01       7.028735709346e-01      -1.189739139912e+00       2.528064455958e-04       2.466776206646e-04      -1.189739139912e+00       2.528064455958e-04       2.466776206646e-04      -8.923045026294e-01       2.530277939169e-04      -8.923044243193e-01       2.529335409998e-04 
       7.408611215040e+00       1.764902542662e-05      -1.189995344690e+00       2.566217612670e-04       5.771148313179e-08       1.442787078295e-07       1.987015196593e-13       2.885574156590e-08      -8.924965085173e-01       2.566217614705e-04       5.887705799645e-01       7.028187486152e-01      -1.189995269139e+00       2.565455410681e-04       2.540442856338e-04      -1.189995269139e+00       2.565455410681e-04       2.540442856338e-04      -8.924966241038e-01       2.567768813762e-04      -8.924965356445e-01       2.566840285191e-04 
       7.517101827637e+00       1.791129954988e-05      -1.190251073408e+00       2.603633936905e-04       6.030569019264e-08       1.507642254816e-07       2.138503582380e-13       3.015284509632e-08      -8.926883050562e-01       2.603633939292e-04       5.887730713633e-01       7.027641644440e-01      -1.190250986586e+00       2.602837519169e-04       2.615190219466e-04      -1.190250986586e+00       2.602837519169e-04       2.615190219466e-04      -8.926884378423e-01       2.605253796566e-04      -8.926883393834e-01       2.604338864384e-04 
