# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  131       4.915078077670e-10       1.433852868433e-13      -5.418096232675e-12       7.396694115405e-16       5.108215641038e-12       8.084115208146e-13      -4.897427261498e-15 
  132       4.960097857806e-10       1.439203461363e-13      -5.472325180994e-12       7.516000642702e-16       5.001861080228e-12       7.955927054010e-13      -4.847044571856e-15 
  133       5.005089166821e-10       1.443927265083e-13      -5.524395958759e-12       7.636496459069e-16       4.898324276956e-12       7.831233332072e-13      -4.798604635106e-15 
  134       5.050041980365e-10       1.448020420489e-13      -5.574246031356e-12       7.758190772043e-16       4.797578015224e-12       7.709916078409e-13      -4.751764554127e-15 
  135       5.094945656417e-10       1.451479764205e-13      -5.621813593436e-12       7.881092924973e-16       4.699581433259e-12       7.591834848924e-13      -4.706153073033e-15 
  136       5.139788919952e-10       1.454302845102e-13      -5.667037606381e-12       8.005212397792e-16       4.604279673397e-12       7.476826176065e-13      -4.661369987564e-15 
  137       5.184559847601e-10       1.456487940813e-13      -5.709857835768e-12       8.130558807772e-16       4.511603531957e-12       7.364703025540e-13      -4.616985555467e-15 
  138       5.229245852311e-10       1.458034074251e-13      -5.750214888830e-12       8.257141910296e-16       4.421469109123e-12       7.255254253032e-13      -4.572539906892e-15 
  139       5.273833668011e-10       1.458941030126e-13      -5.788050251926e-12       8.384971599615e-16       4.333777458826e-12       7.148244060921e-13      -4.527542454770e-15 
  140       5.318309334272e-10       1.459209371466e-13      -5.823306328000e-12       8.514057909616e-16       4.248414238619e-12       7.043411454996e-13      -4.481471305212e-15 
  141       5.362658180969e-10       1.458840456127e-13      -5.855926474047e-12       8.644411014585e-16       4.165249359556e-12       6.940469701176e-13      -4.433772667886e-15 
  142       5.406864812945e-10       1.457836453320e-13      -5.885855038574e-12       8.776041229969e-16       4.084136636078e-12       6.839105782222e-13      -4.383860266413e-15 
  143       5.450913094671e-10       1.456200360119e-13      -5.913037399071e-12       8.908959013142e-16       4.004913435883e-12       6.738979854458e-13      -4.331114748751e-15 
  144       5.494787450419e-10       1.453936128478e-13      -5.937420455287e-12       9.043173937878e-16       3.927434895605e-12       6.639801778152e-13      -4.275031437901e-15 
  145       5.538476941603e-10       1.451049025505e-13      -5.958954084807e-12       9.178691502208e-16       3.851681108704e-12       6.541570358969e-13      -4.215681245509e-15 
