# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.319363559106e-02       1.853736928326e+04 
       3.334628739397e-02       1.846134636741e+04 
       3.349952664397e-02       1.838552665645e+04 
       3.365336956436e-02       1.830934683485e+04 
       3.380783293506e-02       1.823345572613e+04 
       3.396293411694e-02       1.815778134426e+04 
       3.411869107756e-02       1.808192252799e+04 
       3.427512241827e-02       1.800590980797e+04 
       3.443224740287e-02       1.792992140318e+04 
       3.459008598788e-02       1.785439842392e+04 
       3.474865885454e-02       1.777827288991e+04 
       3.490798744271e-02       1.770244592291e+04 
       3.506809398673e-02       1.762680963479e+04 
       3.522900155340e-02       1.755109320507e+04 
       3.539073408229e-02       1.747535286525e+04 
       3.555331642845e-02       1.739963323259e+04 
       3.571677440780e-02       1.732395533211e+04 
       3.588113484531e-02       1.724831616655e+04 
       3.604642562625e-02       1.717278825220e+04 
       3.621267575070e-02       1.709721990623e+04 
       3.637991539156e-02       1.702175260867e+04 
       3.654817595643e-02       1.694618010462e+04 
       3.671749015354e-02       1.687107037442e+04 
       3.688789206212e-02       1.679551405305e+04 
       3.705941720758e-02       1.672005012641e+04 
       3.723210264183e-02       1.664474611879e+04 
       3.740598702933e-02       1.656945921728e+04 
       3.758111073907e-02       1.649418080321e+04 
       3.775751594335e-02       1.641902429750e+04 
       3.793524672360e-02       1.634395173375e+04 
       3.811434918409e-02       1.626865381959e+04 
       3.829487157420e-02       1.619359450292e+04 
       3.847686441993e-02       1.611845843864e+04 
       3.866038066556e-02       1.604335153759e+04 
       3.884547582647e-02       1.596815788063e+04 
       3.903220815404e-02       1.589330519768e+04 
       3.922063881393e-02       1.581822034773e+04 
       3.941083207891e-02       1.574324802327e+04 
       3.960285553782e-02       1.566814311387e+04 
       3.979678032219e-02       1.559316847939e+04 
       3.999268135232e-02       1.551843002583e+04 
       4.019063760494e-02       1.544330893097e+04 
       4.039073240461e-02       1.536838312243e+04 
       4.059305374150e-02       1.529338348299e+04 
       4.079769461840e-02       1.521799225153e+04 
       4.100475343014e-02       1.514313461844e+04 
       4.121433437931e-02       1.506813532237e+04 
       4.142654793209e-02       1.499281860090e+04 
       4.164151131930e-02       1.491748148762e+04 
       4.185934908775e-02       1.484237905739e+04 
       4.208019370817e-02       1.476705832200e+04 
       4.230418624667e-02       1.469150547728e+04 
       4.253147710782e-02       1.461597665349e+04 
       4.276222685844e-02       1.454052328788e+04 
       4.299660714284e-02       1.446459556487e+04 
       4.323480170172e-02       1.438894201206e+04 
       4.347700750885e-02       1.431271406592e+04 
       4.372343604205e-02       1.423661235277e+04 
       4.397431470761e-02       1.416021552724e+04 
       4.422988844049e-02       1.408370659332e+04 
       4.449042150649e-02       1.400693129640e+04 
       4.475619953714e-02       1.393011506382e+04 
       4.502753183360e-02       1.385276145503e+04 
       4.530475398244e-02       1.377524785744e+04 
       4.558823083409e-02       1.369756647853e+04 
       4.587835990474e-02       1.361961864039e+04 
       4.617557527402e-02       1.354095688079e+04 
       4.648035206540e-02       1.346223680318e+04 
       4.679321161424e-02       1.338300785772e+04 
       4.711472745008e-02       1.330319827230e+04 
       4.744553224722e-02       1.322262867112e+04 
       4.778632593154e-02       1.314223618014e+04 
       4.813788517351e-02       1.306080983344e+04 
       4.850107455093e-02       1.297858476997e+04 
       4.887685973116e-02       1.289547769154e+04 
       4.926632310768e-02       1.281177598324e+04 
       4.967068243233e-02       1.272742154508e+04 
       5.009131312136e-02       1.264190651238e+04 
       5.052977508635e-02       1.255533803136e+04 
       5.098784516279e-02       1.246745726860e+04 
       5.146755649043e-02       1.237856880834e+04 
       5.197124655689e-02       1.228828221101e+04 
       5.250161606578e-02       1.219600083458e+04 
       5.306180134724e-02       1.210206209498e+04 
       5.365546370193e-02       1.200584244903e+04 
       5.428689984214e-02       1.190686679697e+04 
       5.496117840145e-02       1.180500685192e+04 
       5.568430814605e-02       1.169977022822e+04 
       5.646344362794e-02       1.159048298327e+04 
       5.730713270848e-02       1.147628116573e+04 
       5.822560593328e-02       1.135619490586e+04 
       5.923109691284e-02       1.122877966259e+04 
       6.033815993192e-02       1.109123010710e+04 
       6.156390690393e-02       1.094281723477e+04 
       6.292800905287e-02       1.077868009745e+04 
       6.445219339985e-02       1.059447404557e+04 
       6.615883525348e-02       1.038500098936e+04 
       6.806821436312e-02       1.014352109015e+04 
       7.019430709520e-02       9.861746876479e+03 
       7.253989705002e-02       9.534273739000e+03 
       7.509308961817e-02       9.157732727401e+03 
       7.782776149523e-02       8.734865274485e+03 
       8.070866994251e-02       8.275402006548e+03 
       8.369884894485e-02       7.795275573619e+03 
       8.676568482893e-02       7.312712927514e+03 
       8.988376886651e-02       6.846617017726e+03 
       9.303496255502e-02       6.412827579249e+03 
       9.620706159969e-02       6.022855350929e+03 
       9.939216643898e-02       5.683428313553e+03 
       1.025852885154e-01       5.396362250193e+03 
       1.057833257808e-01       5.159299012158e+03 
       1.089843675076e-01       4.966659119129e+03 
       1.121872435230e-01       4.810140810567e+03 
       1.153912396203e-01       4.680686307801e+03 
       1.185959207161e-01       4.568212026783e+03 
       1.218010220024e-01       4.463087490665e+03 
       1.250063823324e-01       4.357171452113e+03 
