# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   70       2.507743646317e-10       4.419372014878e-14      -7.674792791244e-13       1.994106619252e-16       2.474755545110e-11       2.927797821361e-12      -1.010673428019e-14 
   71       2.540574077453e-10       4.596808335843e-14      -8.278386341083e-13       2.051665025931e-16       2.392356876258e-11       2.844175790343e-12      -9.903383715183e-15 
   72       2.573727193276e-10       4.777122116623e-14      -8.897975843671e-13       2.110042269482e-16       2.313726803689e-11       2.764052591496e-12      -9.701560261927e-15 
   73       2.607202194285e-10       4.960229319748e-14      -9.533297877667e-13       2.169239472813e-16       2.238667250937e-11       2.687269859361e-12      -9.503390159151e-15 
   74       2.640992908859e-10       5.146042333665e-14      -1.018407061127e-12       2.229257919921e-16       2.166900056599e-11       2.613592947246e-12      -9.311123458151e-15 
   75       2.675087496024e-10       5.334469989564e-14      -1.084999385468e-12       2.290099062609e-16       2.098063389577e-11       2.542707444282e-12      -9.127136263095e-15 
   76       2.709474314776e-10       5.525411215152e-14      -1.153074518108e-12       2.351764454533e-16       2.031801596677e-11       2.474301946231e-12      -8.953619755339e-15 
   77       2.744161424706e-10       5.718734622677e-14      -1.222596735680e-12       2.414255524645e-16       1.968061584870e-11       2.408341492486e-12      -8.791576845567e-15 
   78       2.779160117919e-10       5.914295211969e-14      -1.293527870370e-12       2.477573774446e-16       1.906844224097e-11       2.344837895488e-12      -8.641645776460e-15 
   79       2.814478899941e-10       6.111940291488e-14      -1.365827679952e-12       2.541720852130e-16       1.848114067762e-11       2.283766223956e-12      -8.504392992327e-15 
   80       2.850123318940e-10       6.311509364680e-14      -1.439453844983e-12       2.606698557808e-16       1.791797683892e-11       2.225063088657e-12      -8.380308956665e-15 
   81       2.886095794944e-10       6.512834016323e-14      -1.514361965980e-12       2.672508848732e-16       1.737781986283e-11       2.168624928153e-12      -8.269803969718e-15 
   82       2.922395449060e-10       6.715737798892e-14      -1.590505560609e-12       2.739153844526e-16       1.685912565656e-11       2.114306294570e-12      -8.173203986036e-15 
   83       2.959017932698e-10       6.920036118904e-14      -1.667836060867e-12       2.806635832410e-16       1.635992020811e-11       2.061918139350e-12      -8.090746432038e-15 
   84       2.995958261572e-10       7.125543147320e-14      -1.746303332996e-12       2.874957237010e-16       1.587827947443e-11       2.011275121409e-12      -8.022306549597e-15 
   85       3.033220231625e-10       7.332094115947e-14      -1.825857342427e-12       2.944120512596e-16       1.541389700907e-11       1.962350297683e-12      -7.966533463312e-15 
   86       3.070808258207e-10       7.539526526133e-14      -1.906446760966e-12       3.014128242481e-16       1.496674682480e-11       1.915143053254e-12      -7.921562557290e-15 
   87       3.108724391568e-10       7.747673457692e-14      -1.988018474493e-12       3.084983177408e-16       1.453660170355e-11       1.869631481823e-12      -7.885263632049e-15 
   88       3.146968196583e-10       7.956363573318e-14      -2.070517588929e-12       3.156688240181e-16       1.412302485372e-11       1.825771495373e-12      -7.855232193109e-15 
   89       3.185536632470e-10       8.165421122987e-14      -2.153887436210e-12       3.229246530297e-16       1.372536156754e-11       1.783495933839e-12      -7.828780739573e-15 
   90       3.224423932509e-10       8.374665948361e-14      -2.238069580251e-12       3.302661328578e-16       1.334273087848e-11       1.742713674763e-12      -7.802930052714e-15 
   91       3.263621483765e-10       8.583913487192e-14      -2.323003822920e-12       3.376936101797e-16       1.297401721849e-11       1.703308742969e-12      -7.774400484562e-15 
   92       3.303117706808e-10       8.792974777732e-14      -2.408628210008e-12       3.452074507316e-16       1.261786207548e-11       1.665139420218e-12      -7.739603246484e-15 
   93       3.342901566806e-10       9.001659279659e-14      -2.494879909552e-12       3.528080475364e-16       1.227298638499e-11       1.628072831181e-12      -7.695466453761e-15 
   94       3.382973972111e-10       9.209783812631e-14      -2.581697984962e-12       3.604958459981e-16       1.193923129142e-11       1.592096585447e-12      -7.642074296057e-15 
